Journal Title,JIF,JIF5Years
ACCOUNTING IN EUROPE,4.6,3
ACCOUNTING ORGANIZATIONS AND SOCIETY,3.6,5.5
ACCOUNTING PERSPECTIVES,1.6,1.9
ACCOUNTING RESEARCH JOURNAL,2.4,2.3
ACCOUNTING REVIEW,4.4,6.6
ACCOUNTS OF CHEMICAL RESEARCH,16.4,20.2
ACCOUNTS OF MATERIALS RESEARCH,14,14.1
ACCREDITATION AND QUALITY ASSURANCE,0.8,0.7
ACE-ARCHITECTURE CITY AND ENVIRONMENT,0.7,0.6
ACG CASE REPORTS JOURNAL,0.6,0.7
ACI MATERIALS JOURNAL,1.9,2
ACI STRUCTURAL JOURNAL,1.3,1.7
ACM COMMUNICATIONS IN COMPUTER ALGEBRA,0.4,0.3
ACM COMPUTING SURVEYS,23.8,21.1
ACM JOURNAL OF DATA AND INFORMATION QUALITY,1.5,2.4
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2.1,3
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2.1,2.1
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2.2,2
ACM SIGECOM EXCHANGES,0.6,0.5
ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,2.5,3
ACM TRANSACTIONS ON ALGORITHMS,0.9,1.4
ACM TRANSACTIONS ON APPLIED PERCEPTION,1.9,2.2
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1.5,1.5
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,1.8,1.7
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,2.2,1.6
ACM TRANSACTIONS ON COMPUTATION THEORY,0.8,0.8
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,0.7,0.8
ACM TRANSACTIONS ON COMPUTER SYSTEMS,2,2.6
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,4.8,6
ACM TRANSACTIONS ON COMPUTING EDUCATION,3.2,3.9
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,2,2.2
ACM TRANSACTIONS ON DATABASE SYSTEMS,2.2,2.4
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2.2,1.7
ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,1.1,1.6
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,2.8,2.3
ACM TRANSACTIONS ON GRAPHICS,7.8,9.5
ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,4.2,4.9
ACM TRANSACTIONS ON INFORMATION SYSTEMS,5.4,6
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,7.2,8.5
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,3.6,3.8
ACM TRANSACTIONS ON INTERNET OF THINGS,3.5,3.1
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,3.9,3.6
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,4,3.9
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,2.5,3.1
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2.7,2.8
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,0.7,1
ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,0.7,1
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,5.2,4.9
ACM TRANSACTIONS ON PARALLEL COMPUTING,0.9,1.6
ACM TRANSACTIONS ON PRIVACY AND SECURITY,3,3.4
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,1.5,1.8
ACM TRANSACTIONS ON QUANTUM COMPUTING,3.7,4.2
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,3.1,3.7
ACM TRANSACTIONS ON SENSOR NETWORKS,3.9,3.4
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,6.6,6.6
ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS,1.2,1.8
ACM TRANSACTIONS ON STORAGE,2.1,2
ACM TRANSACTIONS ON THE WEB,2.6,2.8
ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO,<0.1,<0.1
ACOUSTICAL PHYSICS,0.9,0.9
ACOUSTICAL SCIENCE AND TECHNOLOGY,0.6,0.7
ACOUSTICS,1.3,1.9
ACOUSTICS AUSTRALIA,1.9,1.7
ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,0.8,0.7
ACR OPEN RHEUMATOLOGY,2.9,N/A
ACROSS LANGUAGES AND CULTURES,1,1.1
ACS AGRICULTURAL SCIENCE and TECHNOLOGY,2.3,2.3
ACS APPLIED BIO MATERIALS,4.6,4.4
ACS APPLIED ELECTRONIC MATERIALS,4.3,4.4
ACS APPLIED ENERGY MATERIALS,5.4,5.9
ACS APPLIED MATERIALS and INTERFACES,8.3,8.7
ACS APPLIED NANO MATERIALS,5.3,5.4
ACS APPLIED POLYMER MATERIALS,4.4,4.7
ACS BIO and MED CHEM AU,3.8,3.8
ACS BIOMATERIALS SCIENCE and ENGINEERING,5.4,5.4
ACS CATALYSIS,11.3,12.6
ACS CENTRAL SCIENCE,12.7,15.8
ACS CHEMICAL BIOLOGY,3.5,3.9
ACS CHEMICAL HEALTH and SAFETY,2.9,2.7
ACS CHEMICAL NEUROSCIENCE,4.1,4.3
ACS EARTH AND SPACE CHEMISTRY,2.9,3.1
ACS ENERGY LETTERS,19.3,20.8
ACS ENGINEERING AU,4.3,4.3
ACS ENVIRONMENTAL AU,6.7,6.7
ACS ESandT ENGINEERING,7.4,7.4
ACS ESandT WATER,4.8,4.8
ACS FOOD SCIENCE and TECHNOLOGY,2.6,2.6
ACS INFECTIOUS DISEASES,4,4.3
ACS MACRO LETTERS,5.1,5.7
ACS MATERIALS AU,5.7,5.7
ACS MATERIALS LETTERS,9.6,10.2
ACS MEASUREMENT SCIENCE AU,4.6,4.6
ACS MEDICINAL CHEMISTRY LETTERS,3.5,3.9
ACS NANO,15.8,16.2
ACS NANOSCIENCE AU,4.8,4.8
ACS OMEGA,3.7,4
ACS ORGANIC and INORGANIC AU,3.3,3.3
ACS PHARMACOLOGY and TRANSLATIONAL SCIENCE,4.9,4.9
ACS PHOTONICS,6.5,6.6
ACS PHYSICAL CHEMISTRY AU,3.7,3.7
ACS POLYMERS AU,4.7,4.7
ACS SENSORS,8.2,8.4
ACS SUSTAINABLE CHEMISTRY and ENGINEERING,7.1,7.9
ACS SYNTHETIC BIOLOGY,3.7,4.2
ACSMS HEALTH and FITNESS JOURNAL,1.6,1.5
ACTA ACUSTICA,1,1.1
ACTA ADRIATICA,1,0.8
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0.8,1.1
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,1.7,2.1
ACTA AGROBOTANICA,2.1,1.6
ACTA ALIMENTARIA,0.8,0.9
ACTA AMAZONICA,0.7,1
ACTA ANAESTHESIOLOGICA BELGICA,0.1,0.1
ACTA ANAESTHESIOLOGICA SCANDINAVICA,1.9,2.1
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,0.3,0.4
ACTA ANGIOLOGICA,0.4,0.3
ACTA APPLICANDAE MATHEMATICAE,1.2,1.4
ACTA ARCHAEOLOGICA,0.4,0.7
ACTA ARITHMETICA,0.5,0.5
ACTA ASTRONAUTICA,3.1,3.1
ACTA ASTRONOMICA,2,1.9
ACTA BALNEOLOGICA,0.3,0.2
ACTA BALTICO-SLAVICA,<0.1,<0.1
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,3.3,3.4
ACTA BIOCHIMICA POLONICA,1.4,1.8
ACTA BIOETHICA,0.5,0.5
ACTA BIOLOGICA COLOMBIANA,0.5,0.7
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0.5,0.9
ACTA BIOMATERIALIA,9.4,9.9
ACTA BIOTHEORETICA,1.4,1.2
ACTA BOREALIA,0.8,1
ACTA BOTANICA BRASILICA,0.9,1.3
ACTA BOTANICA CROATICA,1.1,1.2
ACTA BOTANICA MEXICANA,0.7,0.9
ACTA BRASILIENSIS,0.2,0.3
ACTA CARDIOLOGICA,2.1,1.7
ACTA CARDIOLOGICA SINICA,1.8,1.7
ACTA CARSOLOGICA,1,1.1
ACTA CHEMICA IASI,0.4,0.6
ACTA CHIMICA SINICA,1.7,1.5
ACTA CHIMICA SLOVACA,0.9,0.9
ACTA CHIMICA SLOVENICA,1.2,1.3
ACTA CHIROPTEROLOGICA,0.7,1
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,0.4,0.4
ACTA CHIRURGICA BELGICA,0.6,0.8
ACTA CHROMATOGRAPHICA,1.7,1.3
ACTA CIRURGICA BRASILEIRA,1.1,1.2
ACTA CLASSICA,0.1,0.1
ACTA CLINICA BELGICA,1.1,1.3
ACTA CLINICA CROATICA,0.7,1.2
ACTA COLOMBIANA DE PSICOLOGIA,0.7,0.9
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,1.9,2.1
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,1.3,2
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,0.7,0.7
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2.6,5.2
ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS,0.5,0.6
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,1.1,0.9
ACTA CYBERNETICA,0.3,0.3
ACTA CYTOLOGICA,1.6,1.9
ACTA DERMATO-VENEREOLOGICA,3.5,4
ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA,0.6,1
ACTA DERMATOVENEROLOGICA CROATICA,0.6,1.1
ACTA DIABETOLOGICA,3.1,3.4
ACTA ECOLOGICA SINICA,4.7,N/A
ACTA ENDOCRINOLOGICA-BUCHAREST,0.7,1.1
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0.9,0.7
ACTA EPILEPTOLOGICA,1.2,1.2
ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA,0.3,0.5
ACTA ETHOLOGICA,1.1,1.1
ACTA FACULTATIS MEDICAE NAISSENSIS,0.3,0.3
ACTA FACULTATIS XYLOLOGIAE ZVOLEN,0.9,0.8
ACTA GASTRO-ENTEROLOGICA BELGICA,1.3,1.4
ACTA GEOCHIMICA,1.4,1.6
ACTA GEODAETICA ET GEOPHYSICA,1.4,1.5
ACTA GEODYNAMICA ET GEOMATERIALIA,0.9,1.1
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,1.3,1
ACTA GEOLOGICA POLONICA,1.1,0.9
ACTA GEOLOGICA SINICA-ENGLISH EDITION,3.5,3.2
ACTA GEOPHYSICA,2,2.1
ACTA GEOTECHNICA,5.6,6
ACTA GEOTECHNICA SLOVENICA,0.5,0.6
ACTA GERMANICA-GERMAN STUDIES IN AFRICA,0.1,0.1
ACTA GYMNICA,0.9,0.7
ACTA HAEMATOLOGICA,1.7,2.1
ACTA HERPETOLOGICA,0.6,0.9
ACTA HISTOCHEMICA,2.3,2.3
ACTA HISTOCHEMICA ET CYTOCHEMICA,1.6,1.8
ACTA HISTORICA TALLINNENSIA,0.2,0.3
ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS,<0.1,N/A
ACTA HISTRIAE,0.5,0.4
ACTA ICHTHYOLOGICA ET PISCATORIA,0.8,0.9
ACTA INFORMATICA,0.4,0.6
ACTA INFORMATICA PRAGENSIA,0.8,N/A
ACTA KINESIOLOGICA,0.2,0.3
ACTA KOREANA,0.2,0.3
ACTA LINGUISTICA ACADEMICA,0.5,0.6
ACTA LITERARIA,<0.1,<0.1
ACTA LOGISTICA,0.8,N/A
ACTA MATERIALIA,8.3,9.3
ACTA MATHEMATICA,4.9,5
ACTA MATHEMATICA HUNGARICA,0.6,0.7
ACTA MATHEMATICA SCIENTIA,1.2,1.1
ACTA MATHEMATICA SINICA-ENGLISH SERIES,0.8,0.8
ACTA MATHEMATICA UNIVERSITATIS COMENIANAE,0.4,0.4
ACTA MATHEMATICA VIETNAMICA,0.3,0.5
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,0.9,0.7
ACTA MECHANICA,2.3,2.2
ACTA MECHANICA ET AUTOMATICA,1,0.8
ACTA MECHANICA SINICA,3.8,3.1
ACTA MECHANICA SOLIDA SINICA,2,2
ACTA MEDICA INDONESIANA,0.7,1.1
ACTA MEDICA OKAYAMA,0.6,0.7
ACTA MEDICA PORTUGUESA,0.8,1.2
ACTA MEDICO-HISTORICA ADRIATICA,0.2,0.2
ACTA METALLURGICA SINICA,2.4,2
ACTA METALLURGICA SINICA-ENGLISH LETTERS,2.9,3
ACTA METALLURGICA SLOVACA,1.1,0.8
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1.3,1.5
ACTA MISSIOLOGICA,1.7,0.9
ACTA MONTANISTICA SLOVACA,2.2,2
ACTA MUSICOLOGICA,0.4,0.2
ACTA NATURAE,2,2.1
ACTA NEOPHILOLOGICA,0.4,0.3
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,1.4,1.3
ACTA NEUROCHIRURGICA,1.9,2.2
ACTA NEUROLOGICA BELGICA,2,2.2
ACTA NEUROLOGICA SCANDINAVICA,2.9,3
ACTA NEUROPATHOLOGICA,9.3,13.1
ACTA NEUROPATHOLOGICA COMMUNICATIONS,6.2,6.8
ACTA NEUROPSYCHIATRICA,2.6,3.3
ACTA NEUROPSYCHOLOGICA,1,0.7
ACTA NUMERICA,16.3,18.8
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,3.5,4
ACTA OCEANOLOGICA SINICA,1.4,1.6
ACTA ODONTOLOGICA SCANDINAVICA,1.4,2
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1.3,1.6
ACTA OECONOMICA,0.7,0.7
ACTA OF BIOENGINEERING AND BIOMECHANICS,0.8,1
ACTA ONCOLOGICA,2.7,3.7
ACTA OPHTHALMOLOGICA,3,3.2
ACTA OPTICA SINICA,1.6,1.1
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,0.1,0.2
ACTA ORNITHOLOGICA,0.8,1
ACTA ORTHOPAEDICA,2.5,3.6
ACTA ORTHOPAEDICA BELGICA,0.5,0.6
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,1.1,1.4
ACTA ORTOPEDICA BRASILEIRA,0.5,0.6
ACTA OTO-LARYNGOLOGICA,1.2,1.4
ACTA OTO-LARYNGOLOGICA CASE REPORTS,0.3,0.2
ACTA OTORHINOLARYNGOLOGICA ITALICA,2.1,2.1
ACTA OTORRINOLARINGOLOGICA ESPANOLA,0.9,1
ACTA PAEDIATRICA,2.4,2.6
ACTA PALAEONTOLOGICA POLONICA,1.8,1.8
ACTA PARASITOLOGICA,1.2,1.3
ACTA PAULISTA DE ENFERMAGEM,1.1,1.1
ACTA PEDIATRICA DE MEXICO,0.1,0.2
ACTA PETROLOGICA SINICA,1.7,1.9
ACTA PHARMACEUTICA,2.1,2.4
ACTA PHARMACEUTICA SINICA B,14.7,14.1
ACTA PHARMACOLOGICA SINICA,6.9,7.6
ACTA PHILOSOPHICA,0.1,0.1
ACTA PHLEBOLOGICA,0.4,0.4
ACTA PHOTONICA SINICA,0.6,0.5
ACTA PHYSICA POLONICA A,0.5,0.6
ACTA PHYSICA POLONICA B,0.9,0.5
ACTA PHYSICA SINICA,0.8,0.8
ACTA PHYSICO-CHIMICA SINICA,10.8,5.5
ACTA PHYSIOLOGIAE PLANTARUM,2.4,2.8
ACTA PHYSIOLOGICA,5.6,4.9
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,0.3,0.4
ACTA POETICA,0.2,0.1
ACTA POLITICA,1.4,1.6
ACTA POLONIAE HISTORICA,0.1,0.1
ACTA POLONIAE PHARMACEUTICA,0.4,0.4
ACTA POLYMERICA SINICA,1.7,1.3
ACTA POLYTECHNICA,0.6,0.6
ACTA POLYTECHNICA HUNGARICA,1.4,1.1
ACTA PROTOZOOLOGICA,1.5,1
ACTA PSYCHIATRICA SCANDINAVICA,5.3,6.6
ACTA PSYCHOLOGICA,2.1,1.9
ACTA PSYCHOLOGICA SINICA,1.3,N/A
ACTA RADIOLOGICA,1.1,1.4
ACTA RADIOLOGICA OPEN,0.9,1.1
ACTA REUMATOLOGICA PORTUGUESA,1,1.3
ACTA SCIENTIAE VETERINARIAE,0.2,0.3
ACTA SCIENTIARUM MATHEMATICARUM,0.5,0.5
ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS,0.4,0.4
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,0.6,0.8
ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,1.3,1.6
ACTA SCIENTIARUM-AGRONOMY,1.2,1.3
ACTA SCIENTIARUM-HEALTH SCIENCES,0.1,0.2
ACTA SCIENTIARUM-TECHNOLOGY,0.6,0.6
ACTA SILVAE ET LIGNI,0.3,0.4
ACTA SOCIETATIS BOTANICORUM POLONIAE,1.1,1.2
ACTA SOCIOLOGICA,1.3,2
ACTA STOMATOLOGICA CROATICA,1.4,1.5
ACTA STRUCTILIA,0.6,0.7
ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING,0.1,0.1
ACTA TECHNOLOGICA AGRICULTURAE,1.3,1
ACTA THEOLOGICA,0.2,0.2
ACTA TROPICA,2.1,2.4
ACTA TURISTICA,0.4,0.5
ACTA UNIVERSITATIS CAROLINAE THEOLOGICA,0.3,N/A
ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA ROMANICA,<0.1,N/A
ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,0.3,0.6
ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES,0.1,0.1
ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA,0.6,0.6
ACTA VETERINARIA BRNO,0.6,0.7
ACTA VETERINARIA EURASIA,0.4,0.4
ACTA VETERINARIA HUNGARICA,0.7,0.9
ACTA VETERINARIA SCANDINAVICA,1.9,2
ACTA VETERINARIA-BEOGRAD,0.7,0.8
ACTA VIROLOGICA,1.1,1.2
ACTA ZOOLOGICA,1.1,1
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,0.6,0.7
ACTA ZOOLOGICA BULGARICA,0.4,0.4
ACTAS DERMO-SIFILIOGRAFICAS,3.8,2.9
ACTAS ESPANOLAS DE PSIQUIATRIA,1,1.4
ACTAS UROLOGICAS ESPANOLAS,1.2,1.1
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0.4,0.5
ACTION LEARNING,1.1,1
ACTION RESEARCH,1.6,2.1
ACTIVE AND PASSIVE ELECTRONIC COMPONENTS,1.3,0.5
ACTIVE LEARNING IN HIGHER EDUCATION,3.8,4
ACTIVITAS NERVOSA SUPERIOR REDIVIVA,0.5,0.3
ACTIVITES-REVUE ELECTRONIQUE,0.4,0.6
ACTIVITIES ADAPTATION and AGING,N/A,N/A
ACTUALIDAD CONTABLE FACES,0.1,0.1
ACTUALIDAD JURIDICA AMBIENTAL,0.2,0.2
ACTUALIDADES EN PSICOLOGIA,0.2,0.4
ACTUALIDADES PEDAGOGICAS,0.1,0.3
ACTUALITES PHARMACEUTIQUES,0.1,0.1
ACTUALIZACIONES EN OSTEOLOGIA,<0.1,<0.1
ACTUATORS,2.2,2.4
ACUPUNCTURE and ELECTRO-THERAPEUTICS RESEARCH,0.2,0.2
ACUPUNCTURE IN MEDICINE,2.4,2.4
ACUTE AND CRITICAL CARE,1.7,1.8
ACUTE MEDICINE and SURGERY,1.5,1.8
AD ALTA-JOURNAL OF INTERDISCIPLINARY RESEARCH,0.7,0.4
AD HOC and SENSOR WIRELESS NETWORKS,0.6,0.5
AD HOC NETWORKS,4.4,4
ADALYA,0.2,0.2
ADANSONIA,0.7,0.5
ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,0.5,0.6
ADAPTED PHYSICAL ACTIVITY QUARTERLY,1.7,2
ADAPTIVE BEHAVIOR,1.2,1.6
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,1.2,1.4
ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,1.7,1.4
ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION,1.2,0.9
ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS,0.5,0.8
ADDICTION,5.2,5.9
ADDICTION BIOLOGY,3.1,3.1
ADDICTION RESEARCH and THEORY,1.9,2.5
ADDICTION SCIENCE and CLINICAL PRACTICE,3.7,4.2
ADDICTIVE BEHAVIORS,3.7,3.8
ADDITIVE MANUFACTURING,10.3,12.4
ADDITIVE MANUFACTURING LETTERS,4.2,4.2
ADELAIDE LAW REVIEW,0.3,0.4
ADEPTUS,<0.1,0.1
ADICCIONES,2.2,2.5
ADIPOCYTE,3.5,3.6
ADMET AND DMPK,3.4,2.8
AD-MINISTER,0.7,0.7
ADMINISTRACAO PUBLICA E GESTAO SOCIAL,0.2,0.2
ADMINISTRACAO-ENSINO E PESQUISA,0.4,0.8
ADMINISTRATION,0.5,0.5
ADMINISTRATION and SOCIETY,3.2,3.1
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,2,2.6
ADMINISTRATIVE SCIENCE QUARTERLY,8.3,13.5
ADMINISTRATIVE SCIENCES,3,3
ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS,1.7,3.3
ADOLESCENT PSYCHIATRY,0.4,0.5
ADOLESCENT RESEARCH REVIEW,4.7,5.7
ADOPTION AND FOSTERING,1,1.4
ADOPTION QUARTERLY,0.9,1.3
ADSORPTION SCIENCE and TECHNOLOGY,2.8,3.4
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,3,3.1
ADULT EDUCATION QUARTERLY,1.5,2.1
ADULT LEARNING,0.9,1.4
ADVANCED BIOLOGY,3.2,3.2
ADVANCED BIOMEDICAL ENGINEERING,0.8,0.6
ADVANCED BIOMEDICAL RESEARCH,0.7,N/A
ADVANCED COMPOSITE MATERIALS,1.8,2
ADVANCED COMPOSITES AND HYBRID MATERIALS,23.2,17.7
ADVANCED DRUG DELIVERY REVIEWS,15.2,17.6
ADVANCED EDUCATION,0.7,0.5
ADVANCED ELECTROMAGNETICS,0.8,0.6
ADVANCED ELECTRONIC MATERIALS,5.3,6.6
ADVANCED EMERGENCY NURSING JOURNAL,0.8,0.9
ADVANCED ENERGY AND SUSTAINABILITY RESEARCH,6.2,6.1
ADVANCED ENERGY MATERIALS,24.4,27.2
ADVANCED ENGINEERING INFORMATICS,8,8.2
ADVANCED ENGINEERING MATERIALS,3.4,4.1
ADVANCED FIBER MATERIALS,17.2,15.7
